Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot39,"Михаил Слепынин",normal,16,Failed,"Classified Technologies","Item T-90M Commander Control Panel","1","06:27:48","06:27:54",
Bot39,"Михаил Слепынин",normal,16,Failed,"The Bunker - Part 1","Zone prapor_024_area_2","1","06:30:44","06:34:30",
Bot38,"Trey Engleman",normal,3,Completed,"Black Pawn Back Bunker","Black Pawn Back Bunker: Objective #1","1","06:27:48","06:44:34",
Bot38,"Trey Engleman",normal,3,Completed,"Black Bishop","Black Bishop: Objective #5","1","06:44:39","06:45:02",
Bot38,"Trey Engleman",normal,3,Completed,"Black Bishop","Black Bishop: Objective #4","1","06:45:07","06:45:27",
Bot38,"Trey Engleman",normal,3,Completed,"Black Bishop","Black Bishop: Objective #7","1","06:45:32","06:45:44",
Bot38,"Trey Engleman",normal,3,Completed,"Black Bishop","Black Bishop: Objective #1","1","06:45:50","06:47:04",
Bot38,"Trey Engleman",normal,3,Completed,"Black Bishop","Black Bishop: Objective #6","1","06:47:09","06:47:37",
Bot38,"Trey Engleman",normal,3,Completed,"Black Bishop","Black Bishop: Objective #8","1","06:47:42","06:47:50",
Bot38,"Trey Engleman",normal,3,Failed,"Black Bishop","Black Bishop: Objective #2","1","06:47:55","06:47:57",
Bot38,"Trey Engleman",normal,3,Completed,"Black Bishop","Black Bishop: Objective #3","1","06:48:02","06:48:24",
Bot38,"Trey Engleman",normal,3,Failed,"Command Center","Command Center: Objective #8","1","06:48:29","06:48:56",
Bot38,"Trey Engleman",normal,3,Failed,"Command Center","Command Center: Objective #7","1","06:49:01","06:49:12",
Bot38,"Trey Engleman",normal,3,Failed,"Command Center","Command Center: Objective #6","1","06:49:17","06:49:20",
Bot38,"Trey Engleman",normal,3,Failed,"Command Center","Command Center: Objective #9","1","06:49:25","06:50:18",
Bot36,"Артём Троцкий",normal,28,Failed,"Disease History","Item Medical record #2","1","06:27:48","06:34:26",
Bot36,"Артём Троцкий",normal,28,Failed,"Disease History","Item Medical record #1","1","06:34:31","06:35:05",
Bot36,"Артём Троцкий",normal,28,Completed,"The Bunker - Part 2","Zone prapor_025_area_1","1","06:35:10","06:36:59",
Bot36,"Артём Троцкий",normal,28,Completed,"The Bunker - Part 2","Zone prapor_025_area_5","1","06:37:05","06:38:02",
Bot36,"Артём Троцкий",normal,28,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","06:38:08","06:40:02",
Bot36,"Артём Троцкий",normal,28,Failed,"The Bunker - Part 2","Zone prapor_025_area_3","1","06:40:07","06:43:05",
Bot36,"Артём Троцкий",normal,28,Failed,"Classified Technologies","Item T-90M Commander Control Panel","1","06:43:10","06:43:44",
Bot36,"Артём Троцкий",normal,28,Failed,"Inventory Check","Zone baraholshik_arsenal_area_4","1","06:43:49","06:44:48",
Bot36,"Артём Троцкий",normal,28,Completed,"Inventory Check","Zone baraholshik_dejurniy_area_2","1","06:44:53","06:45:38",
Bot36,"Артём Троцкий",normal,28,Failed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","06:45:43","06:46:09",
Bot36,"Артём Троцкий",normal,28,Failed,"Inventory Check","Zone baraholshik_arsenal_area_3","1","06:46:14","06:46:20",
Bot37,"Olen Castiglione",normal,30,Failed,"The Bunker - Part 2","Zone prapor_025_area_3","1","06:27:48","06:43:51",
Bot37,"Olen Castiglione",normal,30,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","06:43:56","06:44:15",
Bot40,"Booker Patrick",normal,22,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","06:27:48","06:32:40",
Bot40,"Booker Patrick",normal,22,Failed,"The Bunker - Part 2","Zone prapor_025_area_5","1","06:32:45","06:36:22",
Bot41,"Степан Меледин",normal,23,Failed,"Boss Hunter","Spawn Point (-104.2 -14.5 33.8)","1","06:27:54","06:33:13",
Bot42,"Roy Meurer",normal,20,Failed,"Surplus Goods","Item MBT Integrated Navigation System","1","06:27:58","06:28:44",
Bot42,"Roy Meurer",normal,20,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_12","1","06:28:49","06:28:50",
Bot42,"Roy Meurer",normal,20,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","06:28:55","06:28:58",
Bot42,"Roy Meurer",normal,20,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_13","1","06:29:03","06:29:44",
Bot42,"Roy Meurer",normal,20,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","06:29:49","06:29:58",
Bot42,"Roy Meurer",normal,20,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","06:30:03","06:54:59",
Bot42,"Roy Meurer",normal,20,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_11","1","06:31:10","06:54:59",
Bot42,"Roy Meurer",normal,20,Failed,"Revision - Reserve","Zone tadeush_stryker_area_mark_3","1","06:31:30","06:54:59",
Bot42,"Roy Meurer",normal,20,Failed,"Revision - Reserve","Zone tadeush_stryker_area_check_3","1","06:32:26","06:54:59",
Bot42,"Roy Meurer",normal,20,Failed,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","06:33:07","06:54:59",
Bot43,"Anibal Sindelar",normal,25,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","06:27:58","06:34:21",
Bot43,"Anibal Sindelar",normal,25,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_13","1","06:34:26","06:34:29",
Bot43,"Anibal Sindelar",normal,25,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_12","1","06:34:34","06:47:27",
Bot43,"Anibal Sindelar",normal,25,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","06:36:36","06:47:27",
Bot43,"Anibal Sindelar",normal,25,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","06:36:57","06:42:47",
Bot43,"Anibal Sindelar",normal,25,Completed,"White Knight","White Knight: Objective #3","2","06:42:52","06:43:25",
Bot43,"Anibal Sindelar",normal,25,Failed,"White Knight","White Knight: Objective #2","1","06:43:30","06:47:27",
Bot43,"Anibal Sindelar",normal,25,Failed,"White Knight","White Knight: Objective #1","1","06:44:54","06:47:27",
